Year,ZIP,Avg Fire Risk Score,Avg PPC,CAT Cov A Fire -  Incurred Losses,CAT Cov A Fire -  Number of Claims,CAT Cov A Smoke -  Incurred Losses,CAT Cov A Smoke -  Number of Claims,CAT Cov C Fire -  Incurred Losses,CAT Cov C Fire -  Number of Claims,CAT Cov C Smoke -  Incurred Losses,CAT Cov C Smoke -  Number of Claims,Cov A Amount Weighted Avg,Cov C Amount Weighted Avg,Earned Exposure,Earned Premium,Non-CAT Cov A Fire -  Incurred Losses,Non-CAT Cov A Fire -  Number of Claims,Non-CAT Cov A Smoke -  Incurred Losses,Non-CAT Cov A Smoke -  Number of Claims,Non-CAT Cov C Fire -  Incurred Losses,Non-CAT Cov C Fire -  Number of Claims,Non-CAT Cov C Smoke -  Incurred Losses,Non-CAT Cov C Smoke -  Number of Claims,Number of High Fire Risk Exposure,Number of Low Fire Risk Exposure,Number of Moderate Fire Risk Exposure,Number of Negligible Fire Risk Exposure,Number of Very High Fire Risk Exposure,Category_CO,Category_DO,Category_DT,Category_HO,Category_MH,Category_RT,OBJECTID,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,C_METHOD,OBJECTIVE,GIS_ACRES,COMMENTS,COMPLEX_NA,FIRE_NUM,COMPLEX_ID,DECADES,Shape__Are,Shape__Len,latitude,longitude,Alarm_Date2,year_month,AGENCY_ID,FIRE_NAME_ID,avg_tmax_c,avg_tmin_c,tot_prcp_mm,station,total_population,median_income,total_housing_units,average_household_size,educational_attainment_bachelor_or_higher,poverty_status,housing_occupancy_number,housing_value,year_structure_built,housing_vacancy_number,median_monthly_housing_costs,owner_occupied_housing_units,renter_occupied_housing_units
2018,90003,1.0,1.0,0,0,0,0,0,0,0,0,80600.0,10000.0,0.01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71708.0,54781.0,18349.0,4.03,2294.0,18743.0,18349.0,547600.0,18349.0,715.0,1609.0,4692.0,12942.0
2018,90004,0.42,1.0750000000000002,0,0,0,0,0,0,0,0,71414.51,56913.075,126.75,83805,0,0,0,0,0,0,0,0,0,39,2,86,0,True,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58844.0,62655.0,26046.0,2.44,11822.0,10994.0,26046.0,1457200.0,26046.0,2311.0,1847.0,4011.0,19724.0
2018,90005,0.51,1.06,0,0,0,0,0,0,0,0,59692.175,31384.985,137.13,72339,0,0,0,0,0,0,0,0,0,65,0,72,0,True,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38747.0,52755.0,19357.0,2.18,7582.0,9463.0,19357.0,1084400.0,19357.0,1880.0,1651.0,1572.0,15905.0
2018,90006,0.605,1.04,0,0,0,0,0,0,0,0,64849.44500000001,25813.725,107.23,57280,0,0,0,0,0,0,0,0,0,55,0,52,0,True,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55192.0,49847.0,21475.0,2.79,6758.0,13274.0,21475.0,841900.0,21475.0,2207.0,1415.0,1951.0,17317.0
2018,90007,0.0,2.0,0,0,0,0,0,0,0,0,40000.0,6000.0,1.0,428,0,0,0,0,0,0,0,0,0,0,0,1,0,True,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39253.0,36032.0,14153.0,2.75,3536.0,13473.0,14153.0,852900.0,14153.0,1702.0,1504.0,1297.0,11154.0
2018,90008,0.515,1.095,0,0,0,0,0,0,0,0,63780.605,28736.875,80.24000000000001,50979,0,0,0,0,0,0,0,0,0,37,0,43,0,True,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33443.0,61822.0,16245.0,2.26,4758.0,5416.0,16245.0,1003000.0,16245.0,1505.0,1741.0,4475.0,10265.0
2018,90010,0.56,1.045,0,0,0,0,0,0,0,0,90705.26,39596.635,97.05,73688,0,0,0,0,0,0,0,0,0,47,0,51,0,True,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4478.0,100901.0,3024.0,1.8,1273.0,486.0,3024.0,863500.0,3024.0,536.0,2683.0,444.0,2044.0
2018,90011,2.0,2.0,0,0,0,0,0,0,0,0,0.0,933051.0,1.49,5054,0,0,0,0,0,0,0,0,0,0,1,0,0,True,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102784.0,53781.0,25119.0,4.24,2738.0,27077.0,25119.0,575200.0,25119.0,963.0,1592.0,6346.0,17810.0
2018,90012,0.44,1.075,0,0,0,0,0,0,0,0,68795.375,53637.405,211.69,140070,0,0,0,0,0,0,0,0,2,82,6,123,0,True,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37463.0,67635.0,16541.0,1.9,7710.0,6605.0,16541.0,686400.0,16541.0,1305.0,2170.0,1249.0,13987.0
2018,90013,0.5800000000000001,1.1,0,0,0,0,0,0,0,0,64435.21,55397.625,177.06,106396,0,0,0,0,0,0,0,0,0,81,7,89,0,True,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14891.0,32848.0,10143.0,1.34,3355.0,6063.0,10143.0,786600.0,10143.0,1744.0,1295.0,686.0,7713.0
